Feature,Importance
gyro_sma,7.920021042828282
accel_z_min,7.642585653457564
gyro_x_std,7.521280519147211
accel_z_range,7.420589407595872
gyro_x_min,7.405908598597181
accel_z_std,7.299057313716621
accel_magnitude,7.264281188700759
accel_sma,7.228728479631148
gyro_z_std,7.122650409482167
accel_z_max,7.107874475149842
gyro_z_min,7.08940817764488
gyro_x_range,6.922660491292882
accel_y_std,6.788638016695257
accel_y_mean,6.7232079729867715
accel_y_min,6.67433679614637
accel_x_std,6.601930855646778
accel_y_range,6.598093470852043
accel_y_dom_freq,6.573641766007458
gyro_x_max,6.5665309882960265
accel_z_spec_energy,6.5470376433611115
accel_z_dom_freq,6.515163535620191
accel_y_max,6.1462155388640785
accel_y_spec_energy,6.0523477626715385
accel_x_max,5.993225790011783
accel_x_range,5.906643663415968
accel_x_min,5.539403028461203
gyro_z_range,5.401228856318939
gyro_y_std,5.203874973341185
accel_x_dom_freq,4.980927389062533
accel_x_spec_energy,4.952919637016376
gyro_z_mean,4.721473190716424
gyro_z_max,4.201256998724726
gyro_y_max,3.9664647376504965
gyro_y_range,3.90481167660597
gyro_y_min,3.8068246076759285
accel_x_mean,3.672468875713037
accel_z_mean,3.3549853569016155
gyro_x_mean,2.9615802054631786
gyro_y_mean,2.409182979203041
